# book	training lines	training characters	training error	test lines	test characters	test error
AC09345259	116	5119	0.00655391120507	6	190	0.00564971751412
astro1912	75	4993	0.0117195823567	11	707	0.0345345345345
breslau1805	21	920	0.0689252336449	2	62	0.107142857143
egger	419	16510	0.00754962577286	48	1910	0.00964265456608
frapan	504	25074	0.00335570469799	57	2852	0.00265957446809
gartenlaube	69	4409	0.00896535013327	6	388	0.0301369863014
grosserkrieg20	43	2316	0.0221811460259	18	1116	0.0191938579655
kiel1888	373	13065	0.0188726305288	33	960	0.0368239355581
kochen1915	119	6502	0.00713337757133	4	237	0.00448430493274
koeln1891	44	3306	0.0175382653061	2	148	0.013986013986
linegen	190	1702	0.0500747384155	3	20	0.214285714286
ludendorf	351	23000	0.00475158001568	33	1891	0.00789622109419
menzel	213	13479	0.0167192429022	20	1233	0.0128755364807
munzinger	202	10576	0.010013744355	62	3286	0.0148593107809
nn	19	861	0.0718711276332	3	196	0.0641711229947
ploen1909	87	3478	0.0436667698978	10	438	0.0565110565111
preuschen	19	953	0.010067114094	4	194	0.00549450549451
schiller	364	20494	0.00508339952343	37	2076	0.00831600831601
stuttgart	537	29414	0.00777550010603	41	2338	0.0120751341682
